Player,Tm,Age,College,Pos,Rnd,Cmp,Att,Yds,TD,Int,Rush_Att,Rush_Yds,Rush_TD,Rec,Rec_Yds,Rec_TD,Tkl,Def_Int,Sk,target
Charles Mincy,KAN,21,Washington,DB,5,0,0,0,0,0,0,0,0,0,0,0,0,2.555555556,0,9
Anthony Morgan,CHI,23,Tennessee,WR,5,0,0,0,0,0,1,14.33333333,0,14.5,213.8333333,2,0,0,0,6
Tim Ryan,TAM,23,Notre Dame,G,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Harry Boatswain,SFO,22,New Haven,G,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
David Key,NWE,23,Michigan,DB,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Michael Jackson,CLE,22,Southern Miss,WR,6,0.125,0.5,3.125,0,0.125,0.25,2.75,0,44.125,674.125,5.75,0,0,0,8
Nick Subis,DEN,23,San Diego St.,T,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Erric Pegram,ATL,22,North Texas,RB,6,0,0,0,0,0,122.1428571,485.4285714,1.857142857,16.57142857,119,0.142857143,0,0,0,7
Nolan Harrison,RAI,22,Indiana,DE,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,10
Rhett Hall,TAM,22,California,DT,6,0,0,0,0,0,0,0,0,0,0,0,0,0.125,2.3125,8
Walter Dean,GNB,23,Grambling St.,RB,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mel Agee,IND,22,Illinois,DE,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,5
Mike Sullivan,DAL,23,Miami (FL),G,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
